sample	chloramphenicol	linezolid	tetracycline	fosfomycin	quinupristin+dalfopristin	teicoplanin	erythromycin	gentamicin	vancomycin	ampicillin	tigecycline	ciprofloxacin
10702_8#63	No resistance	No resistance	Resistant	No resistance	No resistance	Resistant	Resistant	Resistant	Resistant	Resistant	No resistance	Resistant
10702_8#64	No resistance	No resistance	Resistant	No resistance	No resistance	No resistance	Resistant	Resistant	No resistance	Resistant	No resistance	Resistant
10702_8#66	No resistance	No resistance	Resistant	No resistance	No resistance	Resistant	Resistant	Resistant	Resistant	Resistant	No resistance	Resistant
10702_8#68	No resistance	No resistance	No resistance	No resistance	No resistance	Resistant	Resistant	Resistant	Resistant	Resistant	No resistance	Resistant
10702_8#69	No resistance	No resistance	No resistance	No resistance	No resistance	No resistance	Resistant	Resistant	No resistance	Resistant	No resistance	No resistance
10702_8#70	No resistance	No resistance	Resistant	No resistance	No resistance	No resistance	Resistant	Resistant	No resistance	Resistant	No resistance	Resistant
10702_8#72	No resistance	No resistance	Resistant	No resistance	No resistance	Resistant	Resistant	Resistant	Resistant	Resistant	No resistance	Resistant
10702_8#73	No resistance	No resistance	No resistance	No resistance	No resistance	Resistant	Resistant	Resistant	Resistant	Resistant	No resistance	Resistant
10702_8#74	No resistance	No resistance	Resistant	No resistance	No resistance	No resistance	Resistant	Resistant	No resistance	Resistant	No resistance	Resistant
10702_8#75	No resistance	No resistance	Resistant	No resistance	No resistance	No resistance	Resistant	Resistant	No resistance	Resistant	No resistance	Resistant
10702_8#78	No resistance	No resistance	Resistant	No resistance	No resistance	No resistance	Resistant	Resistant	No resistance	Resistant	No resistance	Resistant
10702_8#79	No resistance	No resistance	Resistant	No resistance	No resistance	No resistance	Resistant	Resistant	No resistance	Resistant	No resistance	Resistant
10702_8#82	No resistance	No resistance	Resistant	No resistance	No resistance	No resistance	Resistant	Resistant	No resistance	Resistant	No resistance	Resistant
10702_8#83	No resistance	No resistance	No resistance	No resistance	No resistance	Resistant	Resistant	Resistant	Resistant	Resistant	No resistance	Resistant
10702_8#84	No resistance	No resistance	Resistant	No resistance	No resistance	No resistance	Resistant	Resistant	No resistance	Resistant	No resistance	Resistant
10702_8#86	No resistance	No resistance	No resistance	No resistance	No resistance	Resistant	Resistant	Resistant	Resistant	Resistant	No resistance	Resistant
10702_8#87	No resistance	No resistance	Resistant	No resistance	No resistance	Resistant	Resistant	Resistant	Resistant	Resistant	No resistance	Resistant
10702_8#88	No resistance	No resistance	No resistance	No resistance	No resistance	Resistant	Resistant	Resistant	Resistant	Resistant	No resistance	Resistant
10702_8#89	No resistance	No resistance	Resistant	No resistance	No resistance	Resistant	Resistant	Resistant	Resistant	Resistant	No resistance	Resistant
10702_8#90	No resistance	No resistance	No resistance	No resistance	No resistance	Resistant	Resistant	Resistant	Resistant	Resistant	No resistance	Resistant
10702_8#91	Resistant	No resistance	Resistant	No resistance	No resistance	Resistant	Resistant	Resistant	Resistant	Resistant	No resistance	Resistant
10702_8#92	No resistance	No resistance	Resistant	No resistance	No resistance	Resistant	Resistant	Resistant	Resistant	Resistant	No resistance	Resistant
10702_8#93	No resistance	No resistance	Resistant	No resistance	No resistance	Resistant	Resistant	Resistant	Resistant	Resistant	No resistance	Resistant
10702_8#94	No resistance	No resistance	Resistant	No resistance	No resistance	Resistant	Resistant	Resistant	Resistant	Resistant	No resistance	Resistant
10702_8#95	No resistance	No resistance	Resistant	No resistance	No resistance	Resistant	Resistant	Resistant	Resistant	Resistant	No resistance	Resistant
10702_8#96	No resistance	No resistance	Resistant	No resistance	No resistance	Resistant	Resistant	Resistant	Resistant	Resistant	No resistance	Resistant
10733_7#36	No resistance	No resistance	Resistant	No resistance	No resistance	Resistant	Resistant	Resistant	Resistant	Resistant	No resistance	Resistant
10733_7#39	No resistance	No resistance	Resistant	No resistance	No resistance	No resistance	Resistant	Resistant	No resistance	Resistant	No resistance	Resistant
10733_7#42	No resistance	No resistance	No resistance	No resistance	No resistance	No resistance	Resistant	Resistant	No resistance	Resistant	No resistance	Resistant
10733_7#43	No resistance	No resistance	No resistance	No resistance	No resistance	Resistant	Resistant	Resistant	Resistant	Resistant	No resistance	Resistant
10733_7#48	No resistance	No resistance	Resistant	No resistance	No resistance	Resistant	Resistant	Resistant	Resistant	Resistant	No resistance	Resistant
10733_7#50	No resistance	No resistance	Resistant	No resistance	No resistance	Resistant	Resistant	Resistant	Resistant	Resistant	No resistance	Resistant
10733_7#51	No resistance	No resistance	Resistant	No resistance	No resistance	Resistant	Resistant	Resistant	Resistant	Resistant	No resistance	Resistant
10733_7#52	No resistance	No resistance	Resistant	No resistance	No resistance	Resistant	Resistant	Resistant	Resistant	Resistant	No resistance	Resistant
10733_7#53	No resistance	No resistance	No resistance	No resistance	No resistance	Resistant	Resistant	Resistant	Resistant	Resistant	No resistance	Resistant
10733_7#55	No resistance	No resistance	Resistant	No resistance	No resistance	Resistant	Resistant	Resistant	Resistant	Resistant	No resistance	Resistant
10733_7#56	No resistance	No resistance	Resistant	No resistance	No resistance	Resistant	Resistant	Resistant	Resistant	Resistant	No resistance	Resistant
10733_7#57	No resistance	No resistance	Resistant	No resistance	No resistance	Resistant	Resistant	Resistant	Resistant	Resistant	No resistance	Resistant
10733_7#60	No resistance	No resistance	Resistant	No resistance	No resistance	Resistant	Resistant	Resistant	Resistant	Resistant	No resistance	Resistant
10733_7#61	No resistance	No resistance	No resistance	No resistance	No resistance	Resistant	Resistant	Resistant	Resistant	Resistant	No resistance	Resistant
10733_7#62	No resistance	No resistance	Resistant	No resistance	No resistance	Resistant	Resistant	Resistant	Resistant	Resistant	No resistance	Resistant
10733_7#63	No resistance	No resistance	Resistant	No resistance	No resistance	No resistance	Resistant	Resistant	No resistance	Resistant	No resistance	Resistant
10733_7#64	No resistance	No resistance	Resistant	No resistance	No resistance	Resistant	Resistant	Resistant	Resistant	Resistant	No resistance	Resistant
